state_id,state_name
1,California
2,Texas
3,Florida
4,New York
5,Illinois
6,Georgia
7,Ohio
8,Pennsylvania
9,North Carolina
10,New Jersey
11,Arizona
12,Tennessee
13,Michigan
14,Indiana
15,Massachusetts
16,Virginia
17,Wisconsin
18,Missouri
19,South Carolina
20,Alabama
21,Minnesota
22,Colorado
23,Louisiana
24,Oklahoma
25,Kentucky
26,Maryland
27,Utah
28,Iowa
29,Washington
30,Arkansas
31,Mississippi
32,Kansas
33,Nevada
34,Connecticut
35,Nebraska
36,New Mexico
37,Idaho
38,Oregon
39,West Virginia
40,Rhode Island
41,South Dakota
42,Montana
43,North Dakota
44,Delaware
45,New Hampshire
46,Alaska
47,Wyoming
48,Maine
49,District Of Columbia
50,Hawaii
51,Vermont
52,Puerto Rico
53,Guam
54,United States Virgin Islands
55,Northern Mariana Islands
56,American Samoa
