state_id,state_edu_attained_id,state_edu_attained_count,state_edu_attained_percentage
6,4,2432990,0.0919
6,5,1985680,0.075
6,3,5423460,0.2049
6,6,5574860,0.2106
6,7,2073820,0.0783
6,1,5603050,0.2117
6,2,3377680,0.1276
48,4,1482950,0.0818
48,5,1475010,0.0814
48,3,4525100,0.2496
48,6,3918820,0.2161
48,7,1309000,0.0722
48,1,3534710,0.1949
48,2,1885960,0.104
11,4,718909,0.048
11,5,1048670,0.0701
11,3,4276240,0.2857
11,6,2981480,0.1992
11,7,1468740,0.0981
11,1,2827940,0.189
11,2,1643760,0.1098
35,4,838231,0.0615
35,5,958363,0.0703
35,3,3541270,0.2598
35,6,2118020,0.1554
35,7,1190240,0.0873
35,1,2799880,0.2054
35,2,2185930,0.1604
42,4,284062,0.0317
42,5,564848,0.0631
42,3,3106570,0.3469
42,6,1426120,0.1593
42,7,758348,0.0847
42,1,1701360,0.19
42,2,1112920,0.1243
16,4,419259,0.0483
16,5,517783,0.0596
16,3,2254520,0.2595
16,6,1784180,0.2054
16,7,700533,0.0806
16,1,1831440,0.2108
16,2,1178590,0.1357
39,4,221376,0.0278
39,5,546002,0.0685
39,3,2635000,0.3304
39,6,1626960,0.204
39,7,691111,0.0867
39,1,1401610,0.1757
39,2,853717,0.107
12,4,318461,0.0462
12,5,567037,0.0823
12,3,1909070,0.2771
12,6,1397950,0.2029
12,7,538144,0.0781
12,1,1324800,0.1923
12,2,832815,0.1209
36,4,314545,0.045
36,5,538851,0.0772
36,3,1791530,0.2565
36,6,1480930,0.2121
36,7,675145,0.0967
36,1,1395210,0.1998
36,2,787639,0.1128
25,4,194755,0.0286
25,5,431435,0.0633
25,3,1967320,0.2887
25,6,1591360,0.2336
25,7,643446,0.0944
25,1,1207830,0.1773
25,2,777341,0.1141
33,4,298624,0.0486
33,5,327307,0.0533
33,3,1670940,0.2719
33,6,1006680,0.1638
33,7,401872,0.0654
33,1,1489650,0.2424
33,2,951298,0.1548
52,4,236292,0.0409
52,5,359056,0.0622
52,3,1383770,0.2395
52,6,1108670,0.1919
52,7,448739,0.0777
52,1,1272610,0.2203
52,2,967752,0.1675
53,4,186275,0.0365
53,5,256174,0.0502
53,3,1122330,0.22
53,6,1189880,0.2332
53,7,509353,0.0998
53,1,1144540,0.2243
53,2,693067,0.1359
4,4,257948,0.0545
4,5,350689,0.0741
4,3,1129130,0.2386
4,6,1191930,0.2519
4,7,408312,0.0863
4,1,869452,0.1837
4,2,525074,0.1109
47,4,210732,0.0459
47,5,364396,0.0794
47,3,1472000,0.3209
47,6,951755,0.2075
47,7,334362,0.0729
47,1,789448,0.1721
47,2,464697,0.1013
24,4,208460,0.0436
24,5,233484,0.0488
24,3,1148520,0.2402
24,6,738484,0.1544
24,7,363665,0.0761
24,1,1151870,0.2409
24,2,937195,0.196
17,4,163176,0.0368
17,5,332214,0.075
17,3,1480080,0.3341
17,6,894953,0.202
17,7,387910,0.0876
17,1,749078,0.1691
17,2,423078,0.0955
28,4,130008,0.0313
28,5,288258,0.0695
28,3,1270620,0.3062
28,6,919879,0.2217
28,7,328720,0.0792
28,1,745843,0.1797
28,2,466719,0.1125
23,4,164399,0.0397
23,5,241064,0.0582
23,3,1018650,0.2461
23,6,774331,0.1871
23,7,277837,0.0671
23,1,891511,0.2154
23,2,771213,0.1863
7,4,129123,0.0338
7,5,186628,0.0488
7,3,817452,0.2137
7,6,805339,0.2105
7,7,321903,0.0841
7,1,981017,0.2564
7,2,584117,0.1527
55,4,105122,0.0266
55,5,203094,0.0513
55,3,1211980,0.3064
55,6,814749,0.206
55,7,429430,0.1086
55,1,780824,0.1974
55,2,410505,0.1038
26,4,109319,0.029
26,5,149072,0.0396
26,3,928450,0.2465
26,6,789467,0.2096
26,7,431425,0.1145
26,1,892893,0.237
26,2,466274,0.1238
45,4,139634,0.0405
45,5,290857,0.0844
45,3,1003180,0.291
45,6,706771,0.205
45,7,337253,0.0978
45,1,614156,0.1782
45,2,355123,0.103
1,4,142999,0.0431
1,5,315923,0.0951
1,3,1022840,0.308
1,6,711028,0.2141
1,7,282316,0.085
1,1,529178,0.1593
1,2,316594,0.0953
21,4,152013,0.0486
21,5,309693,0.0991
21,3,1061390,0.3396
21,6,654347,0.2094
21,7,194127,0.0621
21,1,490514,0.157
21,2,263071,0.0842
20,4,166412,0.0551
20,5,248372,0.0823
20,3,993098,0.3289
20,6,628993,0.2083
20,7,251136,0.0832
20,1,428846,0.142
20,2,302236,0.1001
41,4,102714,0.0354
41,5,166536,0.0574
41,3,659085,0.2274
41,6,737003,0.2542
41,7,257692,0.0889
41,1,603359,0.2081
41,2,372561,0.1285
40,4,104449,0.0403
40,5,206004,0.0795
40,3,812102,0.3133
40,6,604637,0.2333
40,7,203387,0.0785
40,1,436601,0.1684
40,2,224908,0.0868
8,4,99837,0.0402
8,5,132826,0.0535
8,3,666828,0.2685
8,6,416175,0.1676
8,7,191964,0.0773
8,1,541380,0.218
8,2,434085,0.1748
50,4,48701,0.0267
50,5,92099,0.0505
50,3,416545,0.2284
50,6,469224,0.2572
50,7,176978,0.097
50,1,410803,0.2252
50,2,209702,0.115
43,4,358915,0.153
43,5,191267,0.0815
43,3,655680,0.2795
43,6,290203,0.1237
43,7,243011,0.1036
43,1,433178,0.1846
43,2,173705,0.074
31,4,112207,0.0549
31,5,159925,0.0782
31,3,574254,0.2809
31,6,521900,0.2552
31,7,170718,0.0835
31,1,330222,0.1615
31,2,175469,0.0858
18,4,63936,0.0306
18,5,101578,0.0485
18,3,648398,0.3098
18,6,438917,0.2097
18,7,242125,0.1157
18,1,403801,0.1929
18,2,194030,0.0927
5,4,97346,0.0484
5,5,172822,0.0859
5,3,684659,0.3403
5,6,449597,0.2235
5,7,143979,0.0716
5,1,297250,0.1478
5,2,165986,0.0825
27,4,99936,0.0506
27,5,206169,0.1044
27,3,601355,0.3044
27,6,440191,0.2228
27,7,192866,0.0976
27,1,269736,0.1365
27,2,165417,0.0837
19,4,68104,0.0358
19,5,104022,0.0547
19,3,492807,0.2591
19,6,437157,0.2298
19,7,165119,0.0868
19,1,400938,0.2108
19,2,234132,0.1231
34,4,84492,0.0602
34,5,117758,0.0839
34,3,371338,0.2646
34,6,328226,0.2339
34,7,118038,0.0841
34,1,215662,0.1537
34,2,167857,0.1196
30,4,47833,0.0382
30,5,59702,0.0477
30,3,326594,0.2611
30,6,285487,0.2282
30,7,132185,0.1057
30,1,262614,0.2099
30,2,136611,0.1092
15,4,37255,0.0334
15,5,65674,0.0589
15,3,305181,0.2736
15,6,290307,0.2602
15,7,109602,0.0982
15,1,207179,0.1857
15,2,100358,0.09
54,4,55033,0.0427
54,5,113591,0.0882
54,3,519091,0.4032
54,6,239826,0.1863
54,7,94488,0.0734
54,1,159196,0.1237
54,2,106202,0.0825
14,4,36701,0.037
14,5,43020,0.0433
14,3,271648,0.2736
14,6,207661,0.2091
14,7,106509,0.1073
14,1,215777,0.2173
14,2,111689,0.1125
32,4,20410,0.0213
32,5,45796,0.0477
32,3,263321,0.2742
32,6,177410,0.1847
32,7,97663,0.1017
32,1,218013,0.227
32,2,137724,0.1434
22,4,24984,0.0256
22,5,47001,0.0482
22,3,306589,0.3147
22,6,187750,0.1927
22,7,97905,0.1005
22,1,194761,0.1999
22,2,115127,0.1182
29,4,13743,0.019
29,5,32907,0.0455
29,3,208541,0.2883
29,6,169484,0.2343
29,7,66951,0.0926
29,1,155230,0.2146
29,2,76439,0.1057
44,4,37440,0.0508
44,5,45027,0.0611
44,3,208387,0.2827
44,6,132485,0.1797
44,7,61743,0.0838
44,1,150150,0.2037
44,2,101968,0.1383
9,4,23675,0.0354
9,5,43141,0.0645
9,3,209449,0.3129
9,6,126281,0.1887
9,7,52636,0.0786
9,1,124632,0.1862
9,2,89506,0.1337
46,4,17046,0.0298
46,5,30195,0.0528
46,3,173079,0.3024
46,6,120919,0.2113
46,7,66074,0.1154
46,1,113870,0.1989
46,2,51210,0.0895
37,4,15165,0.0306
37,5,21229,0.0429
37,3,130842,0.2643
37,6,110569,0.2233
37,7,68506,0.1384
37,1,107938,0.218
37,2,40819,0.0825
2,4,12046,0.0251
2,5,22330,0.0465
2,3,134582,0.28
2,6,128500,0.2674
2,7,41109,0.0855
2,1,88058,0.1832
2,2,53961,0.1123
10,4,18258,0.037
10,5,26592,0.0538
10,3,83185,0.1684
10,6,62030,0.1255
10,7,14792,0.0299
10,1,122380,0.2477
10,2,166879,0.3377
51,4,9874,0.0224
51,5,22402,0.0509
51,3,126832,0.288
51,6,75351,0.1711
51,7,38518,0.0874
51,1,99016,0.2248
51,2,68467,0.1554
56,4,7025,0.018
56,5,19663,0.0504
56,3,113535,0.2907
56,6,99677,0.2552
56,7,43761,0.1121
56,1,68269,0.1748
56,2,38586,0.0988
