state_id,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,TotalTests,date
6,3635598,,56824,,1914453,1664321,51601716,3/20/2021
48,2749440,,47257,,2590824,111359,24507017,3/20/2021
11,1994117,,32613,,1329665,631839,24357867,3/20/2021
35,1811288,,49539,,932935,828814,42015555,3/20/2021
16,1216090,,23287,,1135756,57047,19389098,3/20/2021
12,1040817,,18420,,596487,425910,8058303,3/20/2021
39,995785,,17992,,946602,31191,10591209,3/20/2021
42,985066,2944,24886,32,898699,61481,11158837,3/20/2021
36,891314,,11783,,852732,26799,10900126,3/20/2021
33,853349,,24076,,627532,201741,11474078,3/20/2021
4,834607,,16645,,785612,32350,4401682,3/20/2021
47,796624,,11681,,772665,12278,7034682,3/20/2021
25,683398,,16843,,556697,109858,11570859,3/20/2021
17,675388,,12907,,520198,142283,8556561,3/20/2021
24,608318,,16759,,565929,25630,17714455,3/20/2021
52,600550,,10182,,49395,540973,8043259,3/20/2021
55,571220,,6556,,558115,6549,3249111,3/20/2021
28,568926,,8914,,386465,173547,5866988,3/20/2021
45,537498,,8938,,,,6433793,3/20/2021
1,510048,,10391,,310742,188915,2492531,3/20/2021
26,501458,,6830,,485358,9270,7847879,3/20/2021
7,446580,,6142,,299195,141243,2662341,3/20/2021
21,439543,,9974,,426243,3326,6311156,3/20/2021
40,434075,,4788,,417734,11553,3671576,3/20/2021
20,419149,,5504,,48964,364681,4739044,3/20/2021
23,397898,1152,8132,19,9797,379969,8433019,3/20/2021
50,380340,,2041,,367018,11281,4066552,3/20/2021
18,372868,428,5672,,326506,40690,4303965,3/20/2021
53,356063,,5230,,176006,174827,5630802,3/20/2021
5,328045,,5515,,319771,2759,3299489,3/20/2021
27,301924,,6938,,287341,7645,2560505,3/20/2021
19,301763,,4850,,282625,14288,1293893,3/20/2021
31,300415,,5157,,269236,26022,2863567,3/20/2021
8,295484,,7822,,259572,28090,7274861,3/20/2021
30,205539,,2130,,158999,44410,986473,3/20/2021
34,189158,,3877,,169889,15392,2885907,3/20/2021
15,176802,,1938,,98510,76354,1148603,3/20/2021
41,160622,,2353,,141121,17148,4021248,3/20/2021
54,137092,376,2600,30,129143,5349,2341373,3/20/2021
44,132616,,2594,,8124,121898,3301005,3/20/2021
46,115203,,1919,,111120,2164,435353,3/20/2021
29,102616,,1406,,100217,993,1151030,3/20/2021
37,101403,,1459,,99171,773,410293,3/20/2021
9,91425,,1517,,83108,6800,647072,3/20/2021
32,79702,,1207,,76155,2340,1794066,3/20/2021
2,58580,,306,,50446,7828,1820986,3/20/2021
56,55479,,693,,54378,408,668703,3/20/2021
22,48070,238,728,1,12909,34433,1996240,3/20/2021
10,42892,,1046,,30631,11215,1314784,3/20/2021
14,28509,,451,,,,1199823,3/20/2021
51,17247,,217,,14507,2523,1214526,3/20/2021
43,194704,1093,2089,4,93486,99129,464073,3/20/2021
13,7780,,134,,7618,28,136135,3/20/2021
49,2804,,25,,,,50108,3/20/2021
38,157,,2,,,,26131,3/20/2021
3,3,,,,3,0,,3/20/2021
