state_id,state_earning_edu_id,state_earning_average,state_earning_male,state_earning_female
6,1,63230,75794,53357
48,1,56363,70139,49671
11,1,47440,56204,41640
35,1,61606,71252,53455
42,1,54358,65211,45918
16,1,58803,72286,48829
39,1,53703,65129,45039
12,1,53783,67378,44919
36,1,50523,63291,42689
25,1,53617,67863,43125
33,1,66241,81652,56093
52,1,60520,76339,49537
53,1,61735,77313,49017
4,1,52892,64232,44561
47,1,49236,60928,41791
24,1,63834,77340,53542
17,1,50751,63919,41777
28,1,50042,61420,41934
23,1,64348,76742,55340
7,1,54487,67534,45208
55,1,52686,64190,44927
26,1,58085,70534,49162
45,1,49440,62543,39929
1,1,50516,64767,41331
21,1,50018,63053,42938
20,1,49743,59436,42075
41,1,51224,62556,42174
40,1,47016,60493,39532
8,1,64843,80537,52985
50,1,50195,66310,35361
43,1,25511,30122,23622
31,1,49770,57240,42926
18,1,51947,63035,43412
5,1,47466,58917,41082
27,1,43511,54644,37892
19,1,50394,63214,41623
34,1,45594,51925,41214
30,1,50424,60978,42926
15,1,45248,58261,36034
54,1,44906,53851,39036
14,1,51652,61224,45553
32,1,57385,74158,46179
22,1,45866,54630,39732
29,1,42388,51534,37148
44,1,56642,68194,49041
9,1,57420,66333,50628
46,1,45948,54319,39879
37,1,51227,62903,44313
2,1,57703,69741,48429
10,1,69745,77874,62978
51,1,44606,53240,39314
56,1,49141,55557,43077
6,2,89605,107203,75768
48,2,73266,93806,60982
11,2,62789,79648,53513
35,2,78891,95382,69789
42,2,73133,89823,62994
16,2,76258,95641,64162
39,2,69233,83408,60914
12,2,67503,86620,58871
36,2,63845,85203,54012
25,2,72470,90046,61285
33,2,91373,110939,74567
52,2,84674,106984,65411
53,2,80457,101172,66057
4,2,67140,84402,55394
47,2,62229,79720,53497
24,2,82404,102691,71508
17,2,64207,78707,55776
28,2,62076,77284,53957
23,2,87668,106133,75625
7,2,70373,89110,57521
55,2,66536,79154,60231
26,2,75047,87163,66319
45,2,59295,76763,52353
1,2,60823,83273,53388
21,2,60735,80012,52877
20,2,58942,72541,53915
41,2,68522,85269,58594
40,2,60340,77229,49963
8,2,85052,105204,71445
50,2,74609,90628,55912
43,2,37145,45406,32365
31,2,67544,80782,60009
18,2,67050,79523,61037
5,2,61057,76266,53961
27,2,55505,71607,50424
19,2,62748,79448,54117
34,2,62125,79877,55121
30,2,63653,76298,57074
15,2,62750,76910,51312
54,2,56808,71106,51815
14,2,70271,82246,61958
32,2,72303,93432,62232
22,2,60244,70280,54835
29,2,57471,68343,51624
44,2,76777,87644,69972
9,2,72013,85304,65156
46,2,57538,66625,52762
37,2,65538,77319,59002
2,2,76638,87626,70144
10,2,97039,106773,87323
51,2,61517,73233,54726
56,2,62430,68893,57694
6,3,31674,37077,26148
48,3,30683,36743,23862
11,3,27854,31703,23483
35,3,32153,39044,26136
42,3,32000,40291,25419
16,3,31625,39315,25055
39,3,31277,38701,24197
12,3,30264,34648,24322
36,3,29278,32969,23360
25,3,30234,36280,23085
33,3,34524,42045,27094
52,3,31759,38381,25685
53,3,35244,42001,27512
4,3,30424,33572,25536
47,3,29753,34732,23746
24,3,36973,44512,28546
17,3,31968,40208,24746
28,3,30658,36773,24162
23,3,36394,42375,30368
7,3,33987,39762,27283
55,3,32738,40477,25984
26,3,33564,40634,26505
45,3,28940,33279,23227
1,3,29892,36172,22350
21,3,30265,40742,21908
20,3,30445,36190,23266
41,3,30815,36061,25236
40,3,30315,37022,23176
8,3,37039,44211,29694
50,3,32333,41482,25557
43,3,15205,15879,13085
31,3,32067,36540,28197
18,3,32597,40799,24746
5,3,29034,33799,22919
27,3,27454,33197,21223
19,3,30998,37875,23205
34,3,27471,31778,22354
30,3,31488,38657,24695
15,3,30417,36137,22015
54,3,29353,37571,22263
14,3,34129,39132,30106
32,3,36311,43164,28547
22,3,30626,36683,24170
29,3,29187,35589,22431
44,3,36009,42551,29769
9,3,32656,40373,27175
46,3,31248,38115,24335
37,3,36245,43971,26044
2,3,36261,42097,27295
10,3,31226,32183,30098
51,3,32404,38289,26416
56,3,34778,47373,23504
6,4,23760,27427,18080
48,4,23718,28960,16533
11,4,21982,25628,17624
35,4,23196,26947,18507
42,4,25399,30732,18396
16,4,25258,29783,19924
39,4,22881,27785,16905
12,4,23128,26605,17790
36,4,22459,26011,16854
25,4,21996,26492,16517
33,4,25024,29748,19396
52,4,25054,30376,18443
53,4,27253,31755,21228
4,4,23176,26428,18549
47,4,22491,26222,17471
24,4,26978,31566,21586
17,4,25112,30435,18048
28,4,23275,27619,17990
23,4,27311,31822,20858
7,4,27416,32347,19593
55,4,26869,31213,20664
26,4,26221,31013,20370
45,4,21391,25135,16002
1,4,22172,26478,16189
21,4,21938,28562,15619
20,4,21778,25562,16812
41,4,25506,30001,20388
40,4,24518,29691,16937
8,4,25402,29631,20540
50,4,27005,32116,19783
43,4,10962,11658,9292
31,4,27489,30858,23075
18,4,28339,32552,20603
5,4,24263,27237,19090
27,4,21933,26974,15938
19,4,26088,31079,18536
34,4,20375,25024,14595
30,4,26610,31204,20127
15,4,25298,30728,17163
54,4,21292,26282,15450
14,4,27361,31053,24860
32,4,29284,33198,22771
22,4,23228,26783,17488
29,4,21008,27006,14910
44,4,27880,31891,21758
9,4,27060,31458,21011
46,4,25740,29366,19485
37,4,30865,39464,19820
2,4,25297,28833,21279
10,4,25459,29132,21664
51,4,26777,30672,16845
56,4,26671,32896,18191
6,5,39907,47112,32818
48,5,37934,46389,31172
11,5,33595,39230,30488
35,5,40430,48104,33947
42,5,38381,46864,31548
16,5,38395,48471,30836
39,5,36098,44753,30274
12,5,35222,43597,29573
36,5,33784,41493,28967
25,5,35492,44845,29029
33,5,43294,52609,35805
52,5,39256,47924,32200
53,5,41018,50661,32499
4,5,36809,43030,31451
47,5,34634,42542,29395
24,5,42469,51971,35774
17,5,36600,46702,29754
28,5,35102,42861,29850
23,5,44455,52838,38554
7,5,39197,46570,31915
55,5,38901,47841,31511
26,5,40979,49328,33836
45,5,34096,42705,28285
1,5,33590,44083,27354
21,5,34454,46939,27545
20,5,34220,43297,28397
41,5,35639,42707,30136
40,5,35042,43975,28521
8,5,43570,52768,36633
50,5,36700,47256,27184
43,5,17412,19285,16175
31,5,37952,43626,32409
18,5,37900,46621,30589
5,5,32053,40068,27468
27,5,31773,41202,26416
19,5,36097,44471,29414
34,5,31676,40028,26538
30,5,37348,46021,30342
15,5,32256,41902,25531
54,5,32352,43719,26566
14,5,40528,47559,34880
32,5,42222,51980,34787
22,5,35985,43752,30506
29,5,31875,40302,26735
44,5,40976,49586,35313
9,5,39090,45928,32950
46,5,36300,44336,30048
37,5,41707,52032,31612
2,5,44630,53836,36263
10,5,41102,42372,39465
51,5,38234,44445,32745
56,5,37699,51439,28739
